BeeID,order,Treatment,Mstarved,M2,MF,Itspan,S,MetR,freq,amp,wingLen,MT,load,perLoad
E33,2,L,0.1213,0.1487,0.1429,0.00412,5.49E-05,7.215784865,182.4324324,108.9587516,0.010263607,0.1458,0.0245,20.19785655
E35,1,L,0.1565,0.1809,0.1779,0.00462,6.10E-05,9.084098435,171.9745223,103.47512,0.011058144,0.1794,0.0229,14.63258786
E36,1,L,0.1147,0.1649,0.1621,0.00443,5.97E-05,5.50891854,159.7633136,110.3432262,0.010571556,0.1635,0.0488,42.54577158
E37,1,L,0.0931,0.1363,0.1149,0.0041,4.82E-05,5.910787571,177.6315789,112.8148198,0.009637573,0.1256,0.0325,34.90870032
E39,2,L,0.148,0.2004,0.1927,0.00441,6.37E-05,12.90914894,170.8860759,99.7696493,0.011240465,0.19655,0.04855,32.80405405
E41,1,L,0.1258,0.1942,0.1844,0.00425,5.55E-05,8.98612494,187.5,116.7746759,0.010386695,0.1893,0.0635,50.47694754
E42,1,L,0.1371,0.2145,0.2002,0.00486,6.27E-05,11.52512135,184.9315068,117.3241931,0.010976483,0.20735,0.07025,51.23997082
E44,1,L,0.12,0.1645,0.1498,0.0042,5.53E-05,6.414279198,180,114.960606,0.010263607,0.15715,0.03715,30.95833333
E45,1,L,0.1776,0.234,0.2203,0.00503,7.45E-05,11.95788486,173.0769231,106.85784,0.011731269,0.22715,0.04955,27.89977477
E49,1,L,0.1182,0.1764,0.1617,0.00412,5.59E-05,10.27147324,184.9315068,114.7376486,0.010660253,0.16905,0.05085,43.02030457
E50,1,L,0.1392,0.2186,0.2098,0.00462,6.20E-05,11.15138536,181.2080537,113.623594,0.011113389,0.2142,0.075,53.87931034
E53,2,L,0.1909,0.2389,0.2347,0.00518,7.32E-05,13.2130245,170.8860759,115.1785061,0.012118467,0.2368,0.0459,24.0440021
E54,2,L,0.1274,0.1559,0.1509,0.00459,5.83E-05,8.387469002,173.0769231,123.8416658,0.01057021,0.1534,0.026,20.40816327
E56,2,L,0.0767,0.1062,0.0969,0.00386,4.01E-05,7.267504611,195.6521739,114.3376862,0.008691296,0.10155,0.02485,32.39895698
E59,1,L,0.1868,0.2469,0.2312,0.0051,7.81E-05,12.83237455,160.7142857,123.2093477,0.011769344,0.23905,0.05225,27.97109208
