MT,HighLowTrt,MetR,predictedMetR
0.25965000000000005,Heavy load,12.54241162,11.776754553440183
0.30925,Heavy load,11.78386549,13.911676069869408
0.27590000000000003,Heavy load,12.20102461,12.476199606705805
0.2183,Heavy load,9.471140466,9.996935910207348
0.21325,Heavy load,11.03371339,9.779569909038647
0.22010000000000002,Heavy load,10.23580146,10.074412900722926
0.24805,Heavy load,11.42512543,11.277458392339797
0.30885,Heavy load,14.25962695,13.894458960865945
0.32175,Heavy load,14.37654028,14.449710726227577
0.32015000000000005,Heavy load,15.71992526,14.380842290213735
0.26715,Heavy load,10.37357413,12.099575347255083
0.2636,Heavy load,14.32692942,11.946773504849363
0.26065,Heavy load,10.93874407,11.819797325948834
0.27249999999999996,Heavy load,11.85921819,12.32985418017638
0.1733,Heavy load,7.463765503,8.06001114731793
0.22125,Heavy load,13.07916666,10.123912089107877
0.25055,Heavy load,11.42350911,11.385065323611432
0.2301,Heavy load,7.814131388,10.504840625809463
0.17225000000000001,Heavy load,6.527323501,8.014816236183844
0.30884999999999996,Heavy load,15.09812274,13.894458960865943
0.263,Heavy load,10.00993027,11.920947841344171
0.2853,Heavy load,12.28439942,12.88080166828715
0.21594999999999998,Heavy load,10.18861441,9.89578539481201
0.312,Heavy load,13.63646655,14.030043694268205
0.21839999999999998,Heavy load,11.12909466,10.001240187458214
0.28,Heavy load,11.5187044,12.652674973991285
0.3495,Heavy load,16.47543589,15.64414766334272
0.23265000000000002,Heavy load,10.9994655,10.61459969570653
0.15715,Heavy load,8.450067154,7.364870371303173
0.32194999999999996,Heavy load,15.01471691,14.458319280729308
0.18535000000000001,Light load,10.3934827,9.702270493159338
0.2064,Light load,9.214622037,10.919512582422888
0.19905,Light load,8.981411509,10.494489810162218
0.14075,Light load,7.581104246,7.123220745836091
0.1441,Light load,7.159839989,7.3169386080229275
0.15889999999999999,Light load,6.806695718,8.172766775296111
0.1731,Light load,10.3360284,8.993899206058222
0.1991,Light load,9.533783319,10.497381121538142
0.24280000000000002,Light load,13.42710169,13.024387264094775
0.2147,Light load,12.33280719,11.399470270826091
0.1943,Light load,10.01005537,10.21981522944954
0.19595,Light load,12.24442353,10.315228504854998
0.18185,Light load,9.359340297,9.499878696844734
0.18764999999999998,Light load,8.793830066,9.835270816451791
0.1139,Light load,5.506996709,5.570586536965482
0.14579999999999999,Light load,7.215784865,7.415243194804306
0.1794,Light load,9.084098435,9.35820443942451
0.16349999999999998,Light load,5.50891854,8.43876742188102
0.1256,Light load,5.910787571,6.247153398931445
0.19655,Light load,12.90914894,10.349924241366072
0.18930000000000002,Light load,8.98612494,9.93068409185725
0.20734999999999998,Light load,11.52512135,10.974447498565421
0.15715,Light load,6.414279198,8.07157087713881
0.22715000000000002,Light load,11.95788486,12.119406803430902
0.16905,Light load,10.27147324,8.759702984608467
0.2142,Light load,11.15138536,11.370557157066862
0.2368,Light load,13.2130245,12.677429898984023
0.1534,Light load,8.387469002,7.8547225239445915
0.10155,Light load,7.267504611,4.856432627112522
0.23904999999999998,Light load,12.83237455,12.807538910900554
