MT,HighLowTrt,frce,predictedTransForce
0.25965000000000005,Heavy load,0.003129181091121295,0.0029163531000636835
0.30925,Heavy load,0.0040543758354102035,0.0034791765934034775
0.27590000000000003,Heavy load,0.0031272732429305262,0.003100745877619563
0.2183,Heavy load,0.0023858482924092165,0.0024471444014830274
0.21325,Heavy load,0.002692937300272255,0.002389840799842585
0.22010000000000002,Heavy load,0.0025820508494479727,0.0024675694476122946
0.24805,Heavy load,0.002767196816601747,0.002784725025008408
0.30885,Heavy load,0.0037320295056519565,0.00347463769426364
0.32175,Heavy load,0.0036318997515465716,0.0036210171915233846
0.32015000000000005,Heavy load,0.0030414331124723336,0.0036028615949640374
0.26715,Heavy load,0.0027197652516551406,0.0030014574589356277
0.2636,Heavy load,0.003154761426747695,0.002961174729069574
0.26065,Heavy load,0.0032007956257996874,0.0029277003479132755
0.27249999999999996,Heavy load,0.0034654134504442124,0.0030621652349309475
0.1733,Heavy load,0.001971701608809435,0.0019365182482513595
0.22125,Heavy load,0.002290089028031594,0.0024806187826393257
0.25055,Heavy load,0.0028530088372506466,0.00281309314463239
0.2301,Heavy load,0.002437467801695513,0.0025810419261082206
0.17225000000000001,Heavy load,0.001792791221997662,0.0019246036380092873
0.30884999999999996,Heavy load,0.003706052725691683,0.0034746376942636397
0.263,Heavy load,0.0028171967408798563,0.0029543663803598182
0.2853,Heavy load,0.0028795797572594923,0.0032074100074057335
0.21594999999999998,Heavy load,0.0022635261794593485,0.0024204783690364847
0.312,Heavy load,0.0029440014644997762,0.003510381524989857
0.21839999999999998,Heavy load,0.002391560721224713,0.0024482791262679868
0.28,Heavy load,0.00308798090767141,0.003147269593802893
0.3495,Heavy load,0.0039272617903558255,0.003935903319349581
0.23265000000000002,Heavy load,0.00301717754809267,0.002609977408124682
0.15715,Heavy load,0.0015883155570489947,0.0017532601954804385
0.32194999999999996,Heavy load,0.0034050220539689974,0.003623286641093303
0.18535000000000001,Light load,0.002254494113218963,0.002046810719251171
0.2064,Light load,0.002546513359588063,0.00235669737484789
0.19905,Light load,0.00227871657632331,0.0022484946708746893
0.14075,Light load,0.0011415739371945118,0.0013902337672505205
0.1441,Light load,0.0010169180520703896,0.0014395506459321842
0.15889999999999999,Light load,0.0017516809967819682,0.001657428199510875
0.1731,Light load,0.001936379340512609,0.0018664728792958355
0.1991,Light load,0.0022241315301758935,0.002249230743690833
0.24280000000000002,Light load,0.003273881609421243,0.0028925583850008874
0.2147,Light load,0.0018811763852709757,0.002478885462327832
0.1943,Light load,0.0025894117513912637,0.0021785677533409874
0.19595,Light load,0.002571594784916602,0.002202858156273747
0.18185,Light load,0.002349257577567621,0.001995285622121075
0.18764999999999998,Light load,0.001985282640381711,0.0020806700687938055
0.1139,Light load,8.877243097107543e-4,9.949626649810714e-4
0.14579999999999999,Light load,0.0015661666107366552,0.0014645771216810874
0.1794,Light load,0.0016189434215488278,0.0019592180541300078
0.16349999999999998,Light load,0.0014211335362340485,0.0017251468985961436
0.1256,Light load,0.0012322315182945985,0.00116720370395882
0.19655,Light load,0.001603450237847486,0.0022116910300674776
0.18930000000000002,Light load,0.0019673647227920785,0.0021049604717265653
0.20734999999999998,Light load,0.002437407712036123,0.0023706827583546302
0.15715,Light load,0.0017096433143143743,0.0016316656509458272
0.22715000000000002,Light load,0.002403668803253693,0.0026621675935477444
0.16905,Light load,0.0019602785702082103,0.0018068509811881531
0.2142,Light load,0.0022249180076825306,0.0024715247341663893
0.2368,Light load,0.002854302120877256,0.00280422964706358
0.1534,Light load,0.0020510910574391555,0.0015764601897350103
0.10155,Light load,0.0010389600824786671,8.131526793934475e-4
0.23904999999999998,Light load,0.0029072948715687785,0.0028373529237900696
