avg_perc_load,delta_freq2_perLoad,load_order
41.09067850348765,28.93579529536903,Light -> Heavy
48.85969976905314,44.883908521154055,Heavy -> Light
35.313390313390336,101.19635868550989,Light -> Heavy
58.17180616740087,71.63610053386068,Heavy -> Light
40.79984239558706,217.38315702040754,Heavy -> Light
40.37037037037036,123.79474353530453,Heavy -> Light
54.49376375641965,16.695519134400424,Light -> Heavy
49.926210153482884,89.64684827960008,Heavy -> Light
49.66861081654295,-26.748870159878262,Light -> Heavy
60.134730538922156,5.48173657880915,Heavy -> Light
66.70881502890174,-22.10420783874173,Light -> Heavy
56.09714673913044,-104.31024064205636,Light -> Heavy
67.99544419134395,40.06229748838597,Heavy -> Light
64.92831541218635,106.86785551715185,Heavy -> Light
42.46031746031747,84.80794883812153,Heavy -> Light
51.29843363561417,30.13863060643291,Heavy -> Light
37.364217252396166,91.51801151584095,Light -> Heavy
71.57802964254577,50.84423886332756,Light -> Heavy
59.962406015037594,16.904129630140478,Light -> Heavy
70.74324324324323,65.8634432841537,Heavy -> Light
79.76947535771066,8.422199324492667,Light -> Heavy
79.66812545587162,-87.89897437192185,Light -> Heavy
55.45833333333333,17.991681456746434,Light -> Heavy
51.787725225225216,16.3915372503704,Light -> Heavy
63.89593908629441,-32.652983084564504,Light -> Heavy
77.51436781609198,-18.27955816138412,Light -> Heavy
53.56207438449451,-6.202408156486544,Heavy -> Light
51.51098901098901,99.63595777851742,Heavy -> Light
68.64406779661017,49.09723993333927,Heavy -> Light
50.160599571734465,6.9910623336332005,Light -> Heavy
